Age,M,F
0-4,37006608,34026171
5-9,40024719,36167828
10-14,44284584,39344410
15-19,46088036,40224163
20-24,44927368,38550873
25-29,43534341,37764689
30-34,45654328,40406105
35-39,50855386,45990793
40-44,65550248,61689278
45-49,50443511,48137376
50-54,48041772,46186514
55-59,58727160,57164392
60-64,58104950,58458487
65-69,43942636,45022538
70-74,30742507,33297383
75-79,23897465,28831177
80-84,10613294,14812864
85-89,4125191,6564383
90-94,1315483,2668267
95-99,251779,738706
100+,27304,135083
