Age,M,F
0-4,27809983,25989819
5-9,28483187,26618458
10-14,29152470,27243224
15-19,29818206,27861275
20-24,30648036,28630775
25-29,31652342,29572290
30-34,32692152,30553308
35-39,33548046,31371144
40-44,33843459,31675936
45-49,34242144,32095599
50-54,35463653,32699672
55-59,37987223,34533116
60-64,41269762,37110542
65-69,41535371,37077737
70-74,38056474,34008769
75-79,32856438,30630656
80-84,28095990,27945179
85-89,21851236,23634697
90-94,15092191,18934400
95-99,4212039,6399386
100+,902348,2092565
