Age,M,F
0-4,24584237,22974984
5-9,25259225,23605195
10-14,26048024,24341396
15-19,26833754,25071482
20-24,27492138,25679816
25-29,28027365,26174479
30-34,28577900,26685670
35-39,29218694,27284760
40-44,30106081,28119448
45-49,31151142,29116877
50-54,32145218,30092213
55-59,32812600,30809787
60-64,32721531,30891412
65-69,32377349,30848338
70-74,32133693,30512485
75-79,31774258,30405180
80-84,29889804,29192666
85-89,23210339,23534887
90-94,13442599,14750988
95-99,5455481,7087714
100+,1556639,2995609
