Age,M,F
0-4,35462519,33198489
5-9,36938452,33969656
10-14,39967784,36121700
15-19,44152955,39229775
20-24,45853695,40021581
25-29,44663400,38338762
30-34,43275257,37569931
35-39,45387356,40217848
40-44,50517657,45761541
45-49,64975546,61306859
50-54,49750786,47699643
55-59,46957331,45519809
60-64,56403956,55725929
65-69,53961061,55796483
70-74,38378857,41313926
75-79,24144103,28552239
80-84,16246485,22094769
85-89,5832642,9424241
90-94,1621572,3218386
95-99,339868,932906
100+,40838,196437
