Age,M,F
0-4,32182048,30082678
5-9,33345231,31177803
10-14,34315016,32096204
15-19,34658320,32431420
20-24,35057963,32824387
25-29,36368296,33449924
30-34,39218950,35458369
35-39,43279535,38493955
40-44,44929699,39295367
45-49,43671278,37614095
50-54,42068864,36746632
55-59,43574927,39047115
60-64,47315781,43747244
65-69,58043780,56839246
70-74,40643265,41644381
75-79,32583690,35563903
80-84,29827928,35684199
85-89,18382658,25209663
90-94,6469610,10618440
95-99,1443802,3149964
100+,224436,814077
