Age,M,F
0-4,29979761,28017732
5-9,30947304,28921823
10-14,32106757,30011709
15-19,33211747,31049482
20-24,34028981,31821314
25-29,34277280,32071163
30-34,34685900,32482053
35-39,36031686,33152410
40-44,38877905,35173536
45-49,42846345,38158189
50-54,44298268,38851514
55-59,42702137,36992045
60-64,40508729,35769570
65-69,40769197,37250111
70-74,41942243,40133594
75-79,46625188,48505320
80-84,27775723,31211057
85-89,17157941,21166590
90-94,10144612,14622161
95-99,3222772,5992717
100+,454283,1335726
