Age,M,F
0-4,34401217,32176309
5-9,34803478,32567638
10-14,35359036,33107881
15-19,36775237,33823261
20-24,39636897,35822534
25-29,43690905,38829155
30-34,45363601,39625640
35-39,44189220,37981665
40-44,42786174,37220636
45-49,44760227,39790279
50-54,49520563,45119642
55-59,62939641,60027446
60-64,47095482,46034420
65-69,42551434,42717106
70-74,47124119,49590534
75-79,38998622,45130289
80-84,22169192,28358967
85-89,10014218,14843872
90-94,4003538,7494499
95-99,685500,1775366
100+,77323,329482
