Age,M,F
0-4,45565774,39073481
5-9,44357884,38444848
10-14,46714332,41263155
15-19,52140173,46974733
20-24,67253626,62891111
25-29,52072594,49265227
30-34,50086834,47534857
35-39,62418022,59488495
40-44,64228982,62300888
45-49,52430521,50298020
50-54,42333000,40681210
55-59,42590052,41401388
60-64,28415407,28062025
65-69,20224519,19662485
70-74,15743094,15998440
75-79,9933028,11674464
80-84,4726673,6473183
85-89,1680158,2813646
90-94,435711,911081
95-99,59289,165210
100+,4346,18638
