Age,M,F
0-4,33391614,31221578
5-9,34351304,32129896
10-14,34763792,32531752
15-19,35249965,33005557
20-24,36576333,33638649
25-29,39415882,35627919
30-34,43473424,38649795
35-39,45150432,39461787
40-44,43954012,37811651
45-49,42485257,37014856
50-54,44281967,39486060
55-59,48656321,44586297
60-64,61035856,58816994
65-69,44547536,44365455
70-74,38445344,39900477
75-79,39263589,43830488
80-84,28884475,36254638
85-89,13627403,19326637
90-94,4538545,7941619
95-99,1206546,2882683
100+,123448,497333
