Age,M,F
0-4,34857332,32616753
5-9,35402722,33146161
10-14,36889467,33928410
15-19,39846228,36012659
20-24,43930005,39032356
25-29,45599266,39812241
30-34,44415706,38148890
35-39,43036064,37397184
40-44,45104176,40021969
45-49,50102485,45486204
50-54,64159718,60789674
55-59,48715846,47056887
60-64,45248592,44455306
65-69,52717363,53376974
70-74,47690406,51534495
75-79,30767652,35818643
80-84,16903346,22255014
85-89,9269595,14404464
90-94,2401474,4763010
95-99,439527,1162128
100+,57277,257750
