Age,M,F
0-4,25291025,23635558
5-9,26071085,24363752
10-14,26923775,25159915
15-19,27659368,25843168
20-24,28196763,26338759
25-29,28717655,26820118
30-34,29329259,27388789
35-39,30209467,28213072
40-44,31271779,29218323
45-49,32318824,30222417
50-54,33092805,30999403
55-59,33187156,31191103
60-64,33190750,31375689
65-69,33634212,31502652
70-74,34564841,32304009
75-79,34742433,32778607
80-84,30454567,29338298
85-89,21846873,21884764
90-94,12298197,13729228
95-99,5230648,6990311
100+,1531467,3054317
