Age,M,F
0-4,257411,247391
5-9,228956,219566
10-14,225047,218674
15-19,248065,242994
20-24,240240,234182
25-29,213303,207274
30-34,200593,199420
35-39,183679,193977
40-44,181445,191017
45-49,150410,156823
50-54,166543,178217
55-59,154956,175190
60-64,130568,158113
65-69,99771,131833
70-74,69821,99599
75-79,44756,68644
80-84,24243,39390
85-89,8750,16085
90-94,1671,3574
95-99,171,441
100+,10,30
