Age,M,F
0-4,187559,177219
5-9,206521,195465
10-14,224104,212397
15-19,221311,211100
20-24,221801,218699
25-29,229690,233224
30-34,264769,267657
35-39,308326,308372
40-44,311380,306760
45-49,276025,270153
50-54,244263,244280
55-59,237062,238002
60-64,198550,206230
65-69,151944,170100
70-74,126862,156433
75-79,96557,140358
80-84,66049,111994
85-89,30105,62503
90-94,11115,31867
95-99,1861,7302
100+,146,703
