Age,M,F
0-4,1399698,1320873
5-9,1327829,1257527
10-14,1278733,1212388
15-19,1215029,1156035
20-24,1226492,1190547
25-29,1143440,1134715
30-34,1149638,1147373
35-39,1081321,1081535
40-44,985283,983816
45-49,903119,881531
50-54,701977,679822
55-59,574787,565088
60-64,492019,497151
65-69,447654,474545
70-74,350975,421534
75-79,220706,305231
80-84,130336,222399
85-89,51532,111292
90-94,13187,39841
95-99,1999,9257
100+,193,1182
