Age,M,F
0-4,1853822,1748506
5-9,1851103,1748108
10-14,1861871,1762465
15-19,1876571,1784130
20-24,1829252,1754350
25-29,1778854,1720909
30-34,1657333,1615792
35-39,1631962,1596856
40-44,1640550,1593183
45-49,1565062,1565832
50-54,1448743,1468911
55-59,1244719,1280812
60-64,1193091,1251389
65-69,1043780,1116883
70-74,947220,1024296
75-79,754481,854946
80-84,538400,641399
85-89,335653,434559
90-94,125722,187809
95-99,28555,51851
100+,3088,8032
