Age,M,F
0-4,349432556,328509234
5-9,342927576,321511867
10-14,331497486,309769906
15-19,316642222,295553758
20-24,308286775,289100903
25-29,306059387,288632766
30-34,309236984,296293748
35-39,276447037,268371754
40-44,249389688,244399176
45-49,241232876,238133281
50-54,222609691,223162982
55-59,192215395,195633743
60-64,157180267,164961323
65-69,128939392,140704320
70-74,87185982,101491347
75-79,54754941,69026831
80-84,33648953,48281201
85-89,15756942,26429329
90-94,5327866,11352182
95-99,1077791,3055845
100+,124144,449279
