Age,M,F
0-4,267292632,256787466
5-9,234848031,224556124
10-14,207446385,198211965
15-19,189471231,181376868
20-24,151512515,146958964
25-29,126113865,121194137
30-34,121400666,116731478
35-39,109517045,105407397
40-44,100025143,97345609
45-49,83742775,85989522
50-54,68800402,71106515
55-59,62366949,68179089
60-64,50239083,57600534
65-69,36906303,45332239
70-74,23611977,31974542
75-79,13196024,19919903
80-84,6288142,10910450
85-89,2078983,4190969
90-94,461455,1074928
95-99,64956,180643
100+,5603,17534
