Age,M,F
0-4,244985413,234318098
5-9,210103743,200959186
10-14,192262078,183749765
15-19,155046204,149281780
20-24,128691856,123584366
25-29,123991745,119208762
30-34,112472301,108203792
35-39,103170762,100174958
40-44,87399431,88885335
45-49,73242923,74558279
50-54,67940417,72219364
55-59,57212929,62710989
60-64,44788077,51492692
65-69,31640648,39069461
70-74,20284195,27449965
75-79,11822536,17732147
80-84,5344894,9019601
85-89,1774737,3331822
90-94,389383,869741
95-99,49617,129126
100+,4990,15402
