Age,M,F
0-4,280163518,267433962
5-9,269789981,257558874
10-14,255353332,244681765
15-19,229894716,219851710
20-24,201553256,193518316
25-29,183132095,176264312
30-34,147062663,142802376
35-39,121215194,117340079
40-44,115889668,112452925
45-49,102792349,100567840
50-54,91593657,91656606
55-59,73799383,79361706
60-64,56883231,62857918
65-69,46983232,56730688
70-74,32351845,43171887
75-79,19059998,28507051
80-84,8430263,15066711
85-89,2917654,6262817
90-94,707053,1860720
95-99,105775,331019
100+,10163,35157
