Age,M,F
0-4,341813999,326366455
5-9,343152156,328052427
10-14,344918239,329952871
15-19,346252862,331435665
20-24,347097847,332614765
25-29,346623019,332533236
30-34,344185704,330750322
35-39,339142270,326660374
40-44,332835970,321543989
45-49,326113583,315554536
50-54,319243129,309896904
55-59,310201055,303383801
60-64,292329240,289710659
65-69,263493286,266357848
70-74,225578824,235337304
75-79,185924164,203903212
80-84,142246016,166626057
85-89,95683035,122915548
90-94,43509507,63931486
95-99,14177894,24920361
100+,3036551,7282019
