Age,M,F
0-4,347341326,331595401
5-9,348039093,332652233
10-14,349270028,334002134
15-19,349233284,334131071
20-24,347329182,332629515
25-29,343764133,329257320
30-34,339403440,325260406
35-39,334608009,320606397
40-44,330542215,316751143
45-49,326064782,313021839
50-54,314763043,303572110
55-59,294685382,286738395
60-64,268089923,265268118
65-69,243042492,247693411
70-74,215694133,229218111
75-79,183647917,208035563
80-84,123297531,151310430
85-89,71825450,96902756
90-94,35236838,54242580
95-99,11208872,20932209
100+,1967584,5003514
