Age,M,F
0-4,329656291,314697991
5-9,333314458,318561433
10-14,336694235,322043042
15-19,338976034,324491968
20-24,340530156,326393419
25-29,341920226,328124986
30-34,342469733,329233253
35-39,341865758,329703640
40-44,339124475,328331512
45-49,333907705,324784693
50-54,325417433,318395719
55-59,313997920,310061103
60-64,299455221,299121783
65-69,280994670,285404545
70-74,255274802,265890330
75-79,215561602,233025719
80-84,162633397,184863140
85-89,104631964,127837924
90-94,55268285,75399814
95-99,21337869,34160482
100+,5175838,11157734
