Age,M,F
0-4,338634322,323318795
5-9,340465244,325476037
10-14,342357684,327519650
15-19,344081713,329395945
20-24,345084113,330737749
25-29,345875133,331880371
30-34,344959390,331575842
35-39,341517276,329314195
40-44,335587456,324602535
45-49,328314667,318793956
50-54,319884396,311752834
55-59,310373476,304503629
60-64,297526920,295463022
65-69,274327318,277657119
70-74,238542764,248293315
75-79,192805391,209480701
80-84,145450719,168138733
85-89,96609164,121219361
90-94,51874540,73643462
95-99,16768033,28622400
100+,3450691,8024389
