Age,M,F
0-4,278288713,266221232
5-9,257637918,247279029
10-14,231924324,221764309
15-19,204456074,195801304
20-24,186012234,178776371
25-29,149374527,144815155
30-34,124116866,119396514
35-39,118938510,114636706
40-44,106715032,103066524
45-49,96390099,94668766
50-54,79381997,83030665
55-59,63469289,67439434
60-64,55305557,63021589
65-69,41842056,51299179
70-74,27949110,37502287
75-79,15553782,23663795
80-84,7159796,12557248
85-89,2498625,5215958
90-94,563584,1403126
95-99,80413,230428
100+,7520,24829
