Age,M,F
0-4,319081141,304535456
5-9,323445999,309026616
10-14,328001885,313613517
15-19,332008607,317703829
20-24,335085325,321064854
25-29,337106584,323414952
30-34,338267428,325123374
35-39,338335510,326229629
40-44,337166311,326330679
45-49,334917351,325582445
50-54,329775899,322626440
55-59,320629487,316700529
60-64,306334558,306622159
65-69,286358526,292104738
70-74,259467012,271103868
75-79,224258899,242263134
80-84,178541335,201885662
85-89,121538186,146602407
90-94,64787780,86165551
95-99,24483455,38009901
100+,6214181,12878515
