Age,M,F
0-4,302397424,287730914
5-9,272585065,259928372
10-14,267330551,255382300
15-19,253189036,242939805
20-24,226725777,217742926
25-29,198799824,191405200
30-34,180676764,174442524
35-39,144556287,140970804
40-44,118502464,115392670
45-49,112019071,109914878
50-54,97975978,97513007
55-59,85313215,87703336
60-64,66376827,74163880
65-69,48429933,56578511
70-74,36660638,48107779
75-79,22089399,33140269
80-84,10596723,18600067
85-89,3491965,7700324
90-94,855325,2327757
95-99,138428,459458
100+,13908,52280
