Age,M,F
0-4,351164037,334480753
5-9,346736731,330142601
10-14,344011620,326445126
15-19,342996303,324243437
20-24,342289409,322712137
25-29,336609362,316541191
30-34,324161612,304284721
35-39,307272764,289133268
40-44,296205724,281547705
45-49,289648760,279099661
50-54,287043332,283392383
55-59,248895742,251746119
60-64,214779737,222745789
65-69,194440472,207487652
70-74,160499082,179964399
75-79,114861612,138203420
80-84,70307234,93662728
85-89,36899050,55984785
90-94,13030574,23555620
95-99,2986766,6750490
100+,456684,1426789
