Age,M,F
0-4,334457197,319308334
5-9,337390285,322502791
10-14,339720927,324981344
15-19,341567406,326997558
20-24,342978741,328745656
25-29,343944515,330060736
30-34,344304540,330987301
35-39,342404020,330215537
40-44,338095529,327339220
45-49,331228834,321946759
50-54,322290244,315111689
55-59,311309619,306531396
60-64,298116237,296845339
65-69,279881122,283662957
70-74,249338952,259601503
75-79,205051677,221912633
80-84,151704273,173465483
85-89,99496220,123097737
90-94,53059763,73467783
95-99,20461214,33630992
100+,4147718,9300566
