Age,M,F
0-4,221606230,212401918
5-9,196202915,187553412
10-14,158034846,151839708
15-19,131917184,126067867
20-24,126960741,122023277
25-29,115443479,111277460
30-34,106320534,103287038
35-39,90924087,92106863
40-44,77485353,77941473
45-49,73198497,75952745
50-54,63487697,66935879
55-59,52410457,57055667
60-64,39687950,45672440
65-69,28289214,34739501
70-74,18948033,25264017
75-79,10560571,15455926
80-84,4791493,7567386
85-89,1558046,2828773
90-94,308461,658472
95-99,45901,117717
100+,5013,15474
