Age,M,F
0-4,346247215,324426479
5-9,333336283,311369573
10-14,318749286,297196912
15-19,310734251,290909820
20-24,307555407,290007144
25-29,311264703,297821631
30-34,279879845,270533930
35-39,253471832,247008328
40-44,246335364,241397232
45-49,229288635,227487908
50-54,201052884,201179943
55-59,168628830,172316299
60-64,143439682,150609923
65-69,102858628,113307337
70-74,70994282,82434652
75-79,50198621,64521428
80-84,28822029,41932891
85-89,13140522,23210810
90-94,3910771,9009417
95-99,702652,2087056
100+,84650,331878
