Age,M,F
0-4,337184034,314830279
5-9,320667691,298887179
10-14,312621142,292350931
15-19,310242841,291784717
20-24,314102143,299587185
25-29,282854201,272496836
30-34,257046448,249103341
35-39,250591600,243873790
40-44,234515466,230557183
45-49,207728927,205213589
50-54,177091894,177498044
55-59,154421824,157642813
60-64,115277671,121963781
65-69,84637579,92682659
70-74,66381085,78080582
75-79,43805841,56918844
80-84,24922939,37766321
85-89,10217174,19277507
90-94,2791858,6607208
95-99,544515,1760251
100+,56761,236911
