Age,M,F
0-4,207941392,199235716
5-9,161087468,154926278
10-14,134816621,128615540
15-19,130542267,124828332
20-24,118354001,114282974
25-29,109514656,106314631
30-34,94210616,95222323
35-39,81153536,81377963
40-44,77551461,79460103
45-49,68433110,70485045
50-54,58721708,61385202
55-59,46807777,50850049
60-64,36007393,41065583
65-69,26899247,32639082
70-74,17544451,22948374
75-79,9942332,13811369
80-84,4466382,6843071
85-89,1313746,2313549
90-94,296801,620171
95-99,47272,118170
100+,6062,18091
