Age,M,F
0-4,319725948,300116585
5-9,323930881,306503320
10-14,293461321,279135975
15-19,267996374,256439798
20-24,260564967,250736395
25-29,245657124,237984566
30-34,220511531,213331582
35-39,193012097,187490653
40-44,174145198,170028984
45-49,137312000,136300221
50-54,110194689,110085762
55-59,100513423,102659907
60-64,83548773,88146065
65-69,66623732,75008380
70-74,45521056,57818814
75-79,27113530,37799561
80-84,15019315,25573600
85-89,5638482,12138686
90-94,1419040,3905549
95-99,209654,769418
100+,22413,97560
