Age,M,F
0-4,352934192,336596850
5-9,348904689,332739552
10-14,345531711,329212268
15-19,342811031,325552151
20-24,341395033,323133407
25-29,340606469,321547097
30-34,334358881,315141800
35-39,320745064,302386747
40-44,302919795,286636408
45-49,290821703,278366316
50-54,282393312,274712254
55-59,276757228,277060895
60-64,235438794,243079739
65-69,197546343,210752775
70-74,171029313,190098236
75-79,131118961,156110135
80-84,83961485,109335166
85-89,43168842,63695064
90-94,17244846,30295295
95-99,4182126,9160015
100+,577155,1744128
