Age,M,F
0-4,318141157,297524446
5-9,314048838,294721313
10-14,321975132,304907622
15-19,290819321,277325698
20-24,263671430,253615229
25-29,256834529,248521021
30-34,242158442,235955489
35-39,216839970,211271763
40-44,188815633,184962165
45-49,169181710,167016867
50-54,131806655,132979918
55-59,103554540,105959066
60-64,91650359,97026392
65-69,72560901,80658785
70-74,53447250,65037963
75-79,32632504,46156829
80-84,16226040,26131117
85-89,6934173,14205699
90-94,1813633,4926487
95-99,294370,1032757
100+,27269,123322
