Age,M,F
0-4,349737263,333828319
5-9,350229458,334676594
10-14,350218993,334813136
15-19,348704527,333492807
20-24,345228368,330174561
25-29,341334565,326411312
30-34,337594211,322251824
35-39,334488751,319040690
40-44,331093563,316046024
45-49,321636011,307738377
50-54,304235295,292547573
55-59,281158520,273482720
60-64,261015125,259893492
65-69,240673987,247566234
70-74,217694961,235635032
75-79,161307825,186374673
80-84,109628315,136590194
85-89,68481715,93811282
90-94,31195200,49427393
95-99,9069279,17486798
100+,1492466,3962246
