Age,M,F
0-4,330648528,312904921
5-9,295189809,280584390
10-14,270566870,258206011
15-19,265116750,253752725
20-24,249684450,240488774
25-29,223347764,215158753
30-34,196062859,189532257
35-39,177771040,172361626
40-44,141551419,139002875
45-49,114927596,112989892
50-54,107209549,106781328
55-59,91899184,93546260
60-64,77332112,82402414
65-69,57131011,67298802
70-74,38411250,48127661
75-79,25605103,37461863
80-84,12636498,22262944
85-89,4569482,9848588
90-94,1044635,2954732
95-99,171076,595187
100+,18276,73776
