Age,M,F
0-4,347873483,329568905
5-9,345614234,326298106
10-14,345205108,324902488
15-19,339868370,319007049
20-24,328016483,306984954
25-29,313047703,292505786
30-34,304340861,286057257
35-39,299953615,285014711
40-44,300479615,291421202
45-49,266130849,262344570
50-54,236994602,236908771
55-59,224787455,227924604
60-64,200721777,209026340
65-69,163680773,176357109
70-74,122229565,139651223
75-79,86804739,107622176
80-84,47776431,66045740
85-89,21655266,34154293
90-94,8086576,15649946
95-99,1901045,4700481
100+,268371,904736
