Age,M,F
0-4,349151940,332059554
5-9,345281365,327450152
10-14,344257835,325197634
15-19,343892524,323890454
20-24,338260904,317762858
25-29,326451363,305717069
30-34,310771002,291048095
35-39,300701610,284093248
40-44,295251171,282378681
45-49,294604902,287982500
50-54,258800846,257875356
55-59,227587793,231033046
60-64,211899311,219576319
65-69,183526149,197078530
70-74,142066775,160306025
75-79,97684045,119553384
80-84,61424490,83473332
85-89,28351790,43959796
90-94,9629987,17853091
95-99,2423230,5723950
100+,351443,1140679
