Age,M,F
0-4,353201783,336974211
5-9,350823384,335017317
10-14,347762691,331879414
15-19,344387094,328376149
20-24,341229223,324504381
25-29,339691576,322028037
30-34,338399405,320203919
35-39,331034634,313285689
40-44,316458150,299907050
45-49,297649048,283500760
50-54,283795061,274098602
55-59,272523029,268664000
60-64,262722653,268064479
65-69,217310901,230488807
70-74,174486236,193488347
75-79,140989856,165720973
80-84,97171471,124555306
85-89,52586093,75348529
90-94,20761028,35090591
95-99,5677750,11981699
100+,815068,2379499
