Age,M,F
0-4,344612305,329026585
5-9,345765599,330527879
10-14,347137299,332030879
15-19,348335564,333365024
20-24,347927093,333326873
25-29,345942648,331774436
30-34,341919014,328169335
35-39,336521227,323682371
40-44,330795403,318393344
45-49,325691543,313823107
50-54,319384322,308964129
55-59,305325221,297840970
60-64,281564012,278509189
65-69,250176323,253188878
70-74,218466717,229754215
75-79,182796115,202887460
80-84,142037020,170155623
85-89,81795799,108207012
90-94,37577272,56616705
95-99,12996941,23497880
100+,2516277,6213891
