Age,M,F
0-4,172419832,166076751
5-9,138298389,131785035
10-14,133685701,127342693
15-19,122155285,117332713
20-24,113206517,109689337
25-29,97625681,98537658
30-34,84569559,84666454
35-39,81447200,83025587
40-44,73162818,74400103
45-49,63547845,64902477
50-54,52643999,55078204
55-59,42559548,46114026
60-64,34381408,39066813
65-69,25077247,30065689
70-74,16576970,20806445
75-79,9343682,12558136
80-84,3876719,5750331
85-89,1296646,2178282
90-94,316510,630984
95-99,58606,139238
100+,9393,24506
