Age,M,F
0-4,324408573,309658300
5-9,328606283,314011204
10-14,332665155,318133994
15-19,335993223,321584255
20-24,338003194,323930966
25-29,339552602,325826166
30-34,340539625,327359851
35-39,340148814,328027928
40-44,338731906,327912060
45-49,335119282,325887596
50-54,328319763,321372235
55-59,317415910,313528938
60-64,302519373,302892122
65-69,282826021,288012270
70-74,257021704,268082689
75-79,221788676,239545350
80-84,172316082,195336062
85-89,113425111,137450240
90-94,58825006,79098229
95-99,22609209,35673244
100+,5700235,12000693
