Age,M,F
0-4,324553961,302684048
5-9,313763847,293422789
10-14,312859572,293769156
15-19,319208386,302955439
20-24,286149073,274398576
25-29,259966511,251351384
30-34,253567381,246135016
35-39,238602215,233386510
40-44,212536213,208210679
45-49,183225712,181231714
50-54,162554241,163015481
55-59,125073239,128637109
60-64,95398940,100378204
65-69,80279085,88844348
70-74,59155281,70150732
75-79,38817844,52050707
80-84,20193558,32442189
85-89,7806095,14859042
90-94,2340701,5980553
95-99,394068,1349642
100+,39344,168371
