Age,M,F
0-4,348334049,328584616
5-9,346579328,326047544
10-14,341355082,320151607
15-19,329794284,308395112
20-24,314639584,293913648
25-29,306655994,287603663
30-34,303751864,287064092
35-39,305369100,294189116
40-44,271778961,265692055
45-49,243977173,241193114
50-54,234233156,233824038
55-59,213389511,217306068
60-64,180050234,187708032
65-69,142050105,154434961
70-74,110065050,126641414
75-79,68238376,85774103
80-84,37550654,52387967
85-89,18861620,30832144
90-94,6557458,13177938
95-99,1499831,3926821
100+,188093,669888
