Age,M,F
0-4,20143576,19216970
5-9,20818445,19864936
10-14,21475567,20498843
15-19,22030002,21051056
20-24,22589288,21655421
25-29,23211160,22357884
30-34,23823673,23073639
35-39,24420817,23794542
40-44,24798545,24343752
45-49,24665775,24469284
50-54,24201666,24346833
55-59,24035913,24640747
60-64,23306636,24586229
65-69,21736008,23520143
70-74,18882095,21391227
75-79,15460117,18554574
80-84,11057954,14392917
85-89,6716179,9688774
90-94,3265611,5407917
95-99,1100651,2168067
100+,207032,524366
