Age,M,F
0-4,24750381,23654261
5-9,25585596,24464335
10-14,26263449,25138948
15-19,26427724,25396937
20-24,26222042,25436734
25-29,26497475,26034295
30-34,26483588,26495611
35-39,25989010,26222117
40-44,24539834,25245664
45-49,22996484,24102039
50-54,20525851,22045825
55-59,17957336,19772249
60-64,15666229,17763502
65-69,13163829,15368342
70-74,9836683,12062666
75-79,6896451,8976317
80-84,4060289,5737495
85-89,2029950,3219737
90-94,825268,1521204
95-99,227680,503754
100+,40138,106710
