Age,M,F
0-4,18168949,17326461
5-9,18742187,17873377
10-14,19379270,18482774
15-19,19989786,19077415
20-24,20544141,19649524
25-29,21048858,20199024
30-34,21500242,20712926
35-39,22035512,21322556
40-44,22641556,22021683
45-49,23183467,22688364
50-54,23614149,23295134
55-59,23688007,23645803
60-64,23082990,23464079
65-69,21923278,22853778
70-74,20659888,22297393
75-79,18380129,20864311
80-84,14783911,17765356
85-89,9922016,13092018
90-94,5284989,7937118
95-99,1905652,3424732
100+,423557,979648
