Age,M,F
0-4,16030113,15284274
5-9,16518974,15748053
10-14,17019743,16224326
15-19,17478965,16666897
20-24,17908491,17099330
25-29,18365282,17572045
30-34,18888767,18116980
35-39,19431560,18689146
40-44,19975832,19274446
45-49,20456367,19817468
50-54,20811869,20273135
55-59,21131672,20751248
60-64,21353885,21214583
65-69,21258675,21470824
70-74,20656588,21363783
75-79,19128564,20477747
80-84,16158147,18235035
85-89,11922302,14557130
90-94,7290637,10008632
95-99,3184959,5205997
100+,873005,1857834
