Age,M,F
0-4,27171043,26046952
5-9,27898914,26815145
10-14,28366536,27347009
15-19,28032572,27118179
20-24,26405436,26151055
25-29,24754409,25067363
30-34,22351636,23149581
35-39,20077036,21149527
40-44,18303629,19532694
45-49,16511317,17680475
50-54,13737319,14915083
55-59,11337750,12465210
60-64,8649063,9666755
65-69,6504375,7499746
70-74,4831861,5903723
75-79,3249731,4306907
80-84,1964446,2899317
85-89,887933,1485742
90-94,298308,562161
95-99,73247,151877
100+,9761,21522
