Age,M,F
0-4,20861039,19905384
5-9,21514385,20535013
10-14,22123903,21126090
15-19,22775393,21775616
20-24,23431543,22484618
25-29,24043266,23194389
30-34,24646165,23919163
35-39,25049532,24487309
40-44,24977396,24657948
45-49,24622571,24610263
50-54,24643654,25023578
55-59,24173475,25154412
60-64,22968506,24376427
65-69,20556849,22655172
70-74,17676316,20414381
75-79,13767159,16954492
80-84,9659347,12881186
85-89,5860870,8695868
90-94,2766874,4698503
95-99,841519,1723433
100+,155796,403546
