Age,M,F
0-4,19447559,18549970
5-9,20104455,19179125
10-14,20782120,19830504
15-19,21386835,20426171
20-24,21856715,20934561
25-29,22386802,21533558
30-34,23011040,22243334
35-39,23619846,22957246
40-44,24193878,23661738
45-49,24513929,24168648
50-54,24276987,24224112
55-59,23649851,23998809
60-64,23235976,24120631
65-69,22143454,23780106
70-74,20079482,22287756
75-79,16650389,19545048
80-84,12563350,15872734
85-89,7805981,10948146
90-94,3811854,6110594
95-99,1328554,2542246
100+,276883,676101
