Age,M,F
0-4,16545496,15776067
5-9,17046819,16252159
10-14,17549040,16730290
15-19,18036185,17200625
20-24,18504241,17674008
25-29,19016911,18205815
30-34,19552845,18770349
35-39,20102782,19357593
40-44,20611266,19919057
45-49,21023985,20409699
50-54,21445312,20945652
55-59,21823123,21502683
60-64,21987936,21936628
65-69,21815251,22147363
70-74,20944571,21816204
75-79,18916357,20475395
80-84,15744143,18008612
85-89,11733186,14552810
90-94,7000321,9814215
95-99,2937846,4841487
100+,753453,1628132
