Age,M,F
0-4,15539465,14816169
5-9,16004838,15257288
10-14,16492832,15720917
15-19,16951476,16161896
20-24,17355745,16567223
25-29,17775870,16999619
30-34,18244644,17486229
35-39,18776229,18039890
40-44,19315450,18611827
45-49,19835266,19181562
50-54,20264324,19693924
55-59,20528696,20099017
60-64,20708644,20495153
65-69,20690576,20797976
70-74,20189995,20760365
75-79,18948551,20128505
80-84,16458322,18355121
85-89,12354655,14879175
90-94,7504620,10150541
95-99,3374036,5415774
100+,979119,2081415
