Age,M,F
0-4,22978143,21945305
5-9,23790682,22733513
10-14,24621389,23541711
15-19,25395256,24320769
20-24,25856647,24901239
25-29,25816711,25094843
30-34,25557723,25125778
35-39,25818370,25711414
40-44,25757623,26126999
45-49,25152344,25761081
50-54,23510117,24630944
55-59,21647187,23263106
60-64,18804671,20923963
65-69,15777593,18252110
70-74,12899726,15677755
75-79,9802913,12599179
80-84,6213309,8711180
85-89,3334803,5219762
90-94,1311855,2365356
95-99,365137,784065
100+,66985,178570
