Age,M,F
0-4,23855870,22791374
5-9,24676822,23589659
10-14,25523645,24411877
15-19,26124578,25044869
20-24,26138961,25249552
25-29,25875703,25276892
30-34,26148610,25874378
35-39,26123968,26320981
40-44,25596193,26017042
45-49,24079387,24979642
50-54,22407487,23741155
55-59,19774259,21569429
60-64,17012400,19136415
65-69,14448845,16884357
70-74,11660694,14200829
75-79,8177593,10624710
80-84,5164957,7287758
85-89,2574090,4054527
90-94,1013693,1844471
95-99,292306,635355
100+,51644,138343
