Age,M,F
0-4,22216852,21211169
5-9,22920819,21893666
10-14,23740711,22689921
15-19,24503748,23455988
20-24,25152077,24184880
25-29,25563494,24755035
30-34,25524818,24952454
35-39,25260498,24975633
40-44,25484951,25533149
45-49,25345560,25886900
50-54,24604080,25425981
55-59,22775102,24169811
60-64,20663585,22613726
65-69,17533421,20021836
70-74,14191700,17025650
75-79,10958384,14000386
80-84,7560891,10430155
85-89,4086909,6322209
90-94,1735359,3095790
95-99,482881,1027008
100+,84799,225012
