Age,M,F
0-4,25665243,24531219
5-9,26326585,25189220
10-14,26571371,25490697
15-19,26520178,25579093
20-24,26858454,26185013
25-29,26834115,26641451
30-34,26349268,26383674
35-39,24930331,25442884
40-44,23462834,24367380
45-49,21104170,22401801
50-54,18687345,20238003
55-59,16603200,18401802
60-64,14358628,16231831
65-69,11201361,13132008
70-74,8391176,10275743
75-79,5507458,7150892
80-84,3266630,4636092
85-89,1686424,2706736
90-94,655828,1238894
95-99,181264,407014
100+,28667,74039
