Age,M,F
0-4,26907157,25742312
5-9,27014331,25897728
10-14,27746127,26673758
15-19,27983435,27096371
20-24,27390851,26808003
25-29,25734210,25831198
30-34,24207544,24768821
35-39,21883766,22896762
40-44,19623550,20899508
45-49,17818340,19241925
50-54,15938004,17328769
55-59,13094191,14499669
60-64,10597029,11954899
65-69,7820016,9068720
70-74,5590040,6796614
75-79,3854455,5044010
80-84,2291782,3345993
85-89,1135161,1903191
90-94,398295,763344
95-99,94126,202307
100+,14279,33535
