Age,M,F
0-4,26420328,25269499
5-9,26644307,25553111
10-14,26680944,25684076
15-19,27197961,26348226
20-24,27229684,26807438
25-29,26751139,26561496
30-34,25330999,25636011
35-39,23887831,24592013
40-44,21580026,22681973
45-49,19263945,20600731
50-54,17335373,18876804
55-59,15284917,16865417
60-64,12296883,13930123
65-69,9636010,11252168
70-74,6779284,8254052
75-79,4499306,5848369
80-84,2762490,3955094
85-89,1365785,2250220
90-94,529869,1024044
95-99,131815,293495
100+,19858,49218
