Age,M,F
0-4,17606626,16789242
5-9,18137516,17294592
10-14,18711560,17842935
15-19,19301955,18415603
20-24,19844121,18969757
25-29,20379888,19539091
30-34,20892123,20099278
35-39,21346235,20616967
40-44,21868529,21218547
45-49,22432780,21888245
50-54,22893231,22501991
55-59,23186791,23026110
60-64,23060379,23246638
65-69,22146157,22838694
70-74,20530698,21860523
75-79,18574746,20663276
80-84,15364614,18235909
85-89,10856423,13946628
90-94,5918991,8631769
95-99,2280249,3961741
100+,521197,1177654
