Age,M,F
0-4,18775750,17906951
5-9,19411484,18514436
10-14,20070346,19146207
15-19,20697739,19759866
20-24,21224046,20312902
25-29,21669077,20816976
30-34,22203693,21424574
35-39,22826204,22134510
40-44,23415284,22834920
45-49,23936412,23501151
50-54,24158219,23942584
55-59,23764524,23900913
60-64,22919519,23527352
65-69,22153368,23380314
70-74,20559484,22611087
75-79,17835111,20467524
80-84,13672955,16845378
85-89,8998158,12208925
90-94,4506973,7010153
95-99,1581766,2926041
100+,346440,824149
