Age,M,F
0-4,17074747,16281293
5-9,17577101,16758844
10-14,18108267,17265130
15-19,18637068,17777203
20-24,19163215,18310310
25-29,19689411,18862443
30-34,20233838,19443358
35-39,20750154,20008584
40-44,21194378,20520691
45-49,21680333,21097078
50-54,22171510,21720078
55-59,22506957,22259713
60-64,22614155,22665716
65-69,22190751,22674356
70-74,20820153,21908889
75-79,18558127,20345830
80-84,15644441,18174907
85-89,11408100,14465078
90-94,6569993,9324691
95-99,2601722,4395359
100+,639438,1408875
