Age,M,F
0-4,1887588,1786632
5-9,1871486,1772402
10-14,1857276,1759815
15-19,1898363,1802938
20-24,2000070,1908443
25-29,2130985,2041814
30-34,2249484,2160417
35-39,2349367,2263704
40-44,2244074,2147254
45-49,2247395,2126558
50-54,2376089,2230440
55-59,2511728,2354106
60-64,2515012,2381280
65-69,2632213,2574132
70-74,2400657,2483465
75-79,1986165,2186748
80-84,1683653,1964931
85-89,1535916,1937486
90-94,837798,1176090
95-99,239644,384835
100+,33859,67100
